num_poste,nom_usuel,lat,lon,alti,aaaammjj,dhumec,qdhumec,pmerm,qpmerm,pmermin,qpmermin,inst,qinst,glot,qglot,dift,qdift,dirt,qdirt,infrart,qinfrart,uv,quv,uv_indicex,quv_indicex,sigma,qsigma,un,qun,hun,qhun,ux,qux,hux,qhux,um,qum,dhumi40,qdhumi40,dhumi80,qdhumi80,tsvm,qtsvm,etpmon,qetpmon,etpgrille,qetpgrille,ecoulementm,qecoulementm,hneigef,qhneigef,neigetotx,qneigetotx,neigetot06,qneigetot06,neig,qneig,brou,qbrou,orag,qorag,gresil,qgresil,grele,qgrele,rosee,qrosee,verglas,qverglas,solneige,qsolneige,gelee,qgelee,fumee,qfumee,brume,qbrume,eclair,qeclair,nb300,qnb300,ba300,qba300,tmermin,qtmermin,tmermax,qtmermax
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250131,,,1017.4,1,1015.8,1,457,9,1799,9,,,,,,,,,,,67,9,58,1,1122,9,96,1,734,9,76,1,0,9,609,9,24.2,9,4.3,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250201,,,1016.5,1,1014.8,1,414,9,1682,9,,,,,,,,,,,61,9,52,1,1458,9,83,1,2121,9,72,1,0,9,263,9,23.8,9,5.3,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250202,,,,,,,,,1916,9,,,,,,,,,,,,,61,1,1342,9,91,1,248,9,76,1,0,9,534,9,24.9,9,4.4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250204,,,1014.8,1,1012.9,1,375,9,1617,9,,,,,,,,,,,55,9,50,1,1341,9,95,1,2331,9,77,1,0,9,779,9,24.2,9,4.6,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250203,,,1015,1,1013.7,1,376,9,1698,9,,,,,,,,,,,55,9,63,1,1401,9,94,1,431,9,79,1,0,9,767,9,25.5,9,4,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250202,,,1015.7,1,1014,1,376,9,1536,9,,,,,,,,,,,55,9,61,1,1417,9,96,1,644,9,81,1,0,9,872,9,25.2,9,3.7,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250205,,,1015,1,1013.5,1,269,9,1367,9,,,,,,,,,,,39,9,62,1,1028,9,98,1,116,9,85,1,0,9,1026,9,25.6,9,3.2,9,,,,,,,,,,,0,9,0,9,,,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250130,,,,,,,,,1972,9,,,,,,,,,,,,,61,1,1354,9,95,1,554,9,80,1,0,9,834,9,26.9,1,4.6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250205,,,,,,,,,2024,9,,,,,,,,,,,,,64,1,1318,9,95,1,2118,9,82,1,0,9,786,9,25.1,1,4.2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250206,,,1015.7,1,1014.5,1,491,9,1963,9,,,,,,,,,,,72,9,56,1,1338,9,96,1,523,9,75,1,0,9,480,9,24.1,9,4.8,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250127,,,,,,,,,2058,9,,,,,,,,,,,,,63,1,1354,9,94,1,2154,9,78,1,0,9,570,9,25.7,1,4.7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250201,,,,,,,,,1896,9,,,,,,,,,,,,,58,1,1506,9,88,1,2042,9,75,1,0,9,450,9,24.4,1,4.6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250129,,,,,,,,,2162,9,,,,,,,,,,,,,62,1,1236,9,94,1,524,9,83,1,0,9,924,9,28.1,1,4.3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
