num_poste,num_poste,nom_usuel,lat,lon,alti,aaaammjj,rr,qrr,tn,qtn,htn,qhtn,tx,qtx,htx,qhtx,tm,qtm,tntxm,qtntxm,tampli,qtampli,tnsol,qtnsol,tn50,qtn50,dg,qdg,ffm,qffm,ff2m,qff2m,fxy,qfxy,dxy,qdxy,hxy,qhxy,fxi,qfxi,dxi,qdxi,hxi,qhxi,fxi2,qfxi2,dxi2,qdxi2,hxi2,qhxi2,fxi3s,qfxi3s,dxi3s,qdxi3s,hxi3s,qhxi3s,drr,qdrr
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250109,0,1,20.1,1,500,9,28.5,1,1400,9,24,1,24.3,1,8.4,1,16.3,9,18.7,9,,,,,0.7,9,,,,,,,,,,,,,5,9,110,9,1106,9,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250120,0.6,1,24.1,1,557,9,30.3,1,1259,9,26.4,1,27.2,1,6.2,1,19.5,9,22.6,9,0,9,4.7,1,,,9.5,1,70,1,1011,9,14.5,1,50,1,1008,9,,,,,,,13.7,1,,,1012,9,38,9
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250120,1.4,1,23.4,1,2000,9,30.1,1,1321,9,25.6,1,26.8,1,6.7,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250121,0.6,1,23.5,1,2225,9,29.7,1,1318,9,26.3,1,26.6,1,6.2,1,20.1,9,22.3,9,0,9,4.6,1,,,9.7,1,90,1,940,9,15.9,1,90,1,935,9,,,,,,,14.9,1,,,935,9,39,9
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250125,1,1,21.6,1,433,9,30.6,1,1359,9,26.2,1,26.1,1,9,1,17.6,9,20.2,9,0,9,4.3,1,,,8.6,1,120,1,1044,9,14,1,120,1,1239,9,,,,,,,12.2,1,,,1238,9,16,9
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250122,5.6,1,23.4,1,1939,9,29.5,1,1046,9,25.2,1,26.5,1,6.1,1,19.9,9,22.3,9,0,9,3.4,1,,,9.6,1,130,1,1222,9,16.9,1,140,1,1214,9,,,,,,,14.6,1,,,1214,9,107,9
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250118,1.5,1,24.1,1,2200,9,29.1,1,1100,9,26.1,1,26.6,1,5,1,21.1,9,22.5,9,,,,,2.9,9,,,,,,,,,,,,,10,9,80,9,1312,9,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250124,0.6,1,21,1,117,9,29.8,1,1058,9,25.4,1,25.4,1,8.8,1,17.1,9,19.4,9,0,9,3.4,1,,,8.3,1,80,1,1517,9,13.5,1,80,1,1325,9,,,,,,,12.3,1,,,1230,9,28,9
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250124,0,1,22.4,1,639,9,28.8,1,1456,9,24.8,1,25.6,1,6.4,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250125,1,1,23,1,620,9,28.9,1,1509,9,25.4,1,26,1,5.9,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250123,7.6,1,22.2,1,439,9,26.8,1,1433,9,24,1,24.5,1,4.6,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
